"","","mpn","name","status","type","wifi","bluetooth","threadZigbee","operatingTemp","gpio","flash","sram","rom","psram","freq","dimensions","spq","moq","preFirmware","idfSupports","voltageRange"
"FALSE","18","ESP32-S2","ESP32-S2","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","43","0, Quad","320","128","0, Quad","240","QFN56 (7*7)","2000","2000","N/A","v1.x","3.0 ~ 3.6"
"FALSE","19","ESP32-S2R2","ESP32-S2","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","43","0, Quad","320","128","2, Quad","240","QFN56(7*7)","2000","2000","N/A","-","3.0 ~ 3.6"
"FALSE","20","ESP32-S2FH2","ESP32-S2F","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","43","2, Quad","320","128","0, Quad","240","QFN56 (7*7)","2000","2000","NO","-","3.0 ~ 3.6"
"FALSE","21","ESP32-S2FH4","ESP32-S2F","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 105","43","4, Quad","320","128","0, Quad","240","QFN56 (7*7)","2000","2000","NO","-","3.0 ~ 3.6"
"FALSE","22","ESP32-S2FN4R2","ESP32-S2F","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","N/A","N/A","-40 ~ 85","43","4, Quad","320","128","2, Quad","240","QFN56(7*7)","2000","2000","NO","-","3.0 ~ 3.6"
"FALSE","23","ESP32-D0WD-V3","ESP32","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 125","34","0, Quad","520","448","0, Quad","240","QFN48 (5*5)","5000","5000","N/A","v3.x","2.3 ~ 3.6"
"FALSE","24","ESP32-D0WD","ESP32","NRND","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 125","34","0, Quad","520","448","0, Quad","240","QFN48 (5*5)","5000","5000","N/A","v1.x","2.3 ~ 3.6"
"FALSE","25","ESP32-D0WDQ6-V3","ESP32","NRND","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 125","34","0, Quad","520","448","0, Quad","240","QFN48 (6*6)","3000","3000","N/A","v3.x","2.3 ~ 3.6"
"FALSE","26","ESP32-D0WDQ6","ESP32","NRND","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 125","34","0, Quad","520","448","0, Quad","240","QFN48 (6*6)","3000","3000","N/A","v1.x","2.3 ~ 3.6"
"FALSE","27","ESP32-U4WDH","ESP32","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 105","34","4, Quad","520","448","0, Quad","240","QFN48 (5*5)","5000","5000","NO","v3.x","3.0 ~ 3.6"
"FALSE","28","ESP32-S0WD","ESP32","NRND","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 125","34","0, Quad","520","448","0, Quad","160","QFN48 (5*5)","5000","5000","N/A","v1.x","2.3 ~ 3.6"
"FALSE","29","ESP32-PICO-V3","ESP32-PICO-V3","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 85","31","4, Quad","520","448","0, Quad","240","LGA48 (7*7)","2000","2000","NO","v3.x","3.0 ~ 3.6"
"FALSE","30","ESP32-PICO-V3-02","ESP32-PICO-V3-02","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 85","29","8, Quad","520","448","2, Quad","240","LGA48 (7*7)","2000","2000","NO","v3.x","3.0 ~ 3.6"
"FALSE","31","ESP32-PICO-D4","ESP32-PICO-D4","NRND","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","BR/EDR + Bluetooth LE v4.2","N/A","-40 ~ 85","34","4, Quad","520","448","0, Quad","240","LGA48 (7*7)","2000","2000","NO","v1.x","3.0 ~ 3.6"
"FALSE","32","ESP8266EX","ESP8266EX","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps","N/A","N/A","-40 ~ 125","17","0, Quad","160","0","0, Quad","160","QFN32 (5*5)","5000","5000","N/A","-","2.5 ~ 3.6"
"FALSE","33","ESP8285N08","ESP8285","NRND","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps","N/A","N/A","-40 ~ 85","17","1, Quad","160","0","0, Quad","160","QFN32 (5*5)","5000","5000","NO","-","2.7 ~ 3.6"
"FALSE","34","ESP8285H16","ESP8285","Mass Production","SoC","IEEE 802.11b/g/n; 2.4 GHz; HT20; up to 75 Mbps","N/A","N/A","-40 ~ 105","17","2, Quad","160","0","0, Quad","160","QFN32 (5*5)","5000","5000","NO","-","2.7 ~ 3.6"
"FALSE","35","ESP32-S3-WROOM-1-N4","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","36","4, Quad","512","384","0, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","36","ESP32-S3-WROOM-1-N8","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","36","8, Quad","512","384","0, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","37","ESP32-S3-WROOM-1-N16","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","36","16, Quad","512","384","0, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","38","ESP32-S3-WROOM-1-N4R8","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","33","4, Quad","512","384","8, Octal","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","39","ESP32-S3-WROOM-1-N8R8","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","33","8, Quad","512","384","8, Octal","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","40","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","33","16, Quad","512","384","8, Octal","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","41","ESP32-S3-WROOM-1-N16R16VA","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 65","33","16, Quad","512","384","16, Octal","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","42","ESP32-S3-WROOM-1-N4R2","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","36","4, Quad","512","384","2, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
"FALSE","43","ESP32-S3-WROOM-1-N8R2","ESP32-S3-WROOM-1","Mass Production","Module","IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps","Bluetooth LE v5.0","N/A","-40 ~ 85","36","8, Quad","512","384","2, Quad","240","18*25.5*3.1","650","3250","NO","v0.x","3.0 ~ 3.6"
